id_ocorrencia,protocolo,descricao,latitude,longitude,prioridade,criado_em,categoria_codigo,status_codigo,foto_url,resumo,valido,id_categoria_sugerida,prioridade_sugerida,id_ocorrencia_duplicada,analisado_em
1,RU-2026-000001,"Buraco profundo em via pública, com risco para veículos.",-23.4201,-51.9332,MEDIA,2026-09-01T08:00:00-03:00,INFRAESTRUTURA,RECEBIDA,arquivos_teste/ocorrencia_001.jpg,Buraco profundo em via pública com risco de dano a veículos.,true,1,MEDIA,,2026-09-01T08:01:00-03:00
2,RU-2026-000002,Luminária apagada há três noites em trecho de circulação de pedestres.,-23.4213,-51.9341,BAIXA,2026-09-01T08:05:00-03:00,ILUMINACAO,EM_ANALISE,arquivos_teste/ocorrencia_002.jpg,Falha de iluminação em trecho utilizado por pedestres.,true,2,BAIXA,,2026-09-01T08:06:00-03:00
3,RU-2026-000003,Semáforo sem funcionar em cruzamento movimentado.,-23.4198,-51.9325,CRITICA,2026-09-01T08:10:00-03:00,TRANSITO,EM_ATENDIMENTO,arquivos_teste/ocorrencia_003.jpg,Falha de semáforo em cruzamento com risco imediato ao trânsito.,true,3,CRITICA,,2026-09-01T08:11:00-03:00
4,RU-2026-000004,Galhos acumulados bloqueando parte da calçada.,-23.4179,-51.9307,MEDIA,2026-09-01T08:15:00-03:00,ARBORIZACAO,ENCAMINHADA,arquivos_teste/ocorrencia_004.jpg,Galhos obstruem parcialmente a circulação na calçada.,true,4,MEDIA,,2026-09-01T08:16:00-03:00
5,RU-2026-000005,Bueiro com escoamento lento após chuva.,-23.4231,-51.9364,MEDIA,2026-09-01T08:20:00-03:00,DRENAGEM,EM_ANALISE,arquivos_teste/ocorrencia_005.jpg,Bueiro apresenta escoamento lento após precipitação.,true,5,MEDIA,,2026-09-01T08:21:00-03:00
6,RU-2026-000006,Pichação em muro de equipamento público.,-23.4252,-51.938,BAIXA,2026-09-01T08:25:00-03:00,CONSERVACAO,RECEBIDA,arquivos_teste/ocorrencia_006.jpg,Pichação registrada em estrutura de equipamento público.,true,6,BAIXA,,2026-09-01T08:26:00-03:00
7,RU-2026-000007,Árvore inclinada sobre a rede elétrica.,-23.4165,-51.9299,ALTA,2026-09-01T08:30:00-03:00,ARBORIZACAO,ENCAMINHADA,arquivos_teste/ocorrencia_007.jpg,Árvore inclinada apresenta risco próximo à rede elétrica.,true,4,ALTA,,2026-09-01T08:31:00-03:00
8,RU-2026-000008,Placa de sinalização caída ao lado da via.,-23.424,-51.9351,MEDIA,2026-09-01T08:35:00-03:00,TRANSITO,RECEBIDA,arquivos_teste/ocorrencia_008.jpg,Placa de sinalização caída reduz a orientação no trecho.,true,3,MEDIA,,2026-09-01T08:36:00-03:00
9,RU-2026-000009,Lixo descartado irregularmente em terreno aberto.,-23.4263,-51.9402,MEDIA,2026-09-01T08:40:00-03:00,LIMPEZA_URBANA,EM_ATENDIMENTO,arquivos_teste/ocorrencia_009.jpg,Descarte irregular de resíduos em terreno aberto.,true,7,MEDIA,,2026-09-01T08:41:00-03:00
10,RU-2026-000010,Calçada pública com peças de piso soltas.,-23.4187,-51.9316,BAIXA,2026-09-01T08:45:00-03:00,INFRAESTRUTURA,EM_ANALISE,arquivos_teste/ocorrencia_010.jpg,Piso solto em calçada pública pode dificultar a circulação.,true,1,BAIXA,,2026-09-01T08:46:00-03:00
11,RU-2026-000011,Alagamento impedindo a passagem de veículos.,-23.4271,-51.9415,CRITICA,2026-09-01T08:50:00-03:00,DRENAGEM,EM_ATENDIMENTO,arquivos_teste/ocorrencia_011.jpg,Alagamento bloqueia a via e exige atendimento imediato.,true,5,CRITICA,,2026-09-01T08:51:00-03:00
12,RU-2026-000012,Poste com luminária oscilando durante a noite.,-23.4222,-51.9371,MEDIA,2026-09-01T08:55:00-03:00,ILUMINACAO,RESOLVIDA,arquivos_teste/ocorrencia_012.jpg,Luminária em poste apresenta funcionamento intermitente.,true,2,MEDIA,,2026-09-01T08:56:00-03:00
13,RU-2026-000013,Faixa de pedestres com pintura quase apagada.,-23.4159,-51.9286,MEDIA,2026-09-01T09:00:00-03:00,TRANSITO,ENCAMINHADA,arquivos_teste/ocorrencia_013.jpg,Sinalização horizontal desgastada reduz a visibilidade da travessia.,true,3,MEDIA,,2026-09-01T09:01:00-03:00
14,RU-2026-000014,Fiação exposta próxima a ponto de ônibus.,-23.4147,-51.9275,ALTA,2026-09-01T09:05:00-03:00,INFRAESTRUTURA,EM_ANALISE,arquivos_teste/ocorrencia_014.jpg,Fiação exposta em área de circulação representa risco elevado.,true,1,ALTA,,2026-09-01T09:06:00-03:00
15,RU-2026-000015,Banco de praça quebrado e sem condição de uso.,-23.4282,-51.9424,BAIXA,2026-09-01T09:10:00-03:00,CONSERVACAO,RECEBIDA,arquivos_teste/ocorrencia_015.jpg,Mobiliário da praça está danificado e indisponível para uso.,true,6,BAIXA,,2026-09-01T09:11:00-03:00
16,RU-2026-000016,Entulho ocupando parte da via pública.,-23.429,-51.9431,MEDIA,2026-09-01T09:15:00-03:00,LIMPEZA_URBANA,ENCAMINHADA,arquivos_teste/ocorrencia_016.jpg,Entulho reduz a área livre para circulação na via.,true,7,MEDIA,,2026-09-01T09:16:00-03:00
17,RU-2026-000017,Vazamento contínuo de água na rua.,-23.4139,-51.9268,MEDIA,2026-09-01T09:20:00-03:00,SANEAMENTO,EM_ATENDIMENTO,arquivos_teste/ocorrencia_017.jpg,Vazamento contínuo provoca perda de água na via pública.,true,8,MEDIA,,2026-09-01T09:21:00-03:00
18,RU-2026-000018,Cratera aumentando em via próxima a uma escola.,-23.4126,-51.9259,CRITICA,2026-09-01T09:25:00-03:00,INFRAESTRUTURA,ENCAMINHADA,arquivos_teste/ocorrencia_018.jpg,Cratera em crescimento próxima a área escolar exige prioridade crítica.,true,1,CRITICA,,2026-09-01T09:26:00-03:00
19,RU-2026-000019,Mato alto reduzindo a visibilidade em uma esquina.,-23.4301,-51.9443,BAIXA,2026-09-01T09:30:00-03:00,LIMPEZA_URBANA,EM_ANALISE,arquivos_teste/ocorrencia_019.jpg,Vegetação alta prejudica a visibilidade na esquina.,true,7,BAIXA,,2026-09-01T09:31:00-03:00
20,RU-2026-000020,Novo relato de escoamento lento no mesmo bueiro registrado anteriormente.,-23.42312,-51.93641,MEDIA,2026-09-01T09:35:00-03:00,DRENAGEM,EM_ANALISE,arquivos_teste/ocorrencia_020.jpg,Relato semelhante ao registro 5 no mesmo ponto de drenagem.,true,5,MEDIA,5,2026-09-01T09:36:00-03:00
